ID,View/Description,Camera/Sensor/Method,Res,DelT

IDE00005,GMS 12km (EOL),IR,N/A,504
IDE00006,GMS 12km (EOL),VIS,N/A,504
IDE00105,GMS (EOL),IR,N/A,504
IDE00106,GMS (EOL),VIS,N/A,504

IDE00123,GMS AUS West (EOL),IR Zehr,N/A,504
IDE00124,GMS AUS West (EOL),IR enhanced,N/A,504
IDE00125,GMS AUS West (EOL),IR,N/A,504
IDE00126,GMS AUS West (EOL),VIS,N/A,504

IDE00133,GMS AUS (EOL),IR Zehr,N/A,504
IDE00134,GMS AUS (EOL),IR enhanced,N/A,504
IDE00135,GMS AUS Blue Marble (EOL),,N/A,504

IDE00143,GMS AUS East (EOL),IR Zehr,N/A,504
IDE00144,GMS AUS East (EOL),IR enhanced,N/A,504
IDE00145,GMS AUS East (EOL),IR,N/A,504
IDE00146,GMS AUS East (EOL),VIS,N/A,504

IDE00153,GMS Full Disc,IR Zehr,N/A,504
IDE00154,GMS Full Disc,IR enhanced,N/A,504
IDE00155,GMS Full Disc,IR,N/A,504
IDE00156,GMS Full Disc,VIS,N/A,504

IDE00401,AUS equirectangular projection,IR (Ch13) greyscale,2,24
IDE00402,AUS equirectangular projection,VIS (Ch3) greyscale,2,24
IDE00403,AUS equirectangular projection,IR (Ch13) Zehr,2,24
IDE00404,AUS equirectangular projection,IR (Ch13) Rainbow,2,24
IDE00405,AUS equirectangular projection,IR (Ch13) Blue Marble,2,24
IDE00406,AUS equirectangular projection,VIS true colour & IR (Ch13) greyscale composite,2,24
IDE00407,AUS equirectangular projection,WV (Ch8),2,24
IDE00409,AUS equirectangular projection,VIS (Ch3) Greyscale,0.5,24
IDE00411,AUS equirectangular projection,VIS (Ch3) Greyscale,2,24

IDE00412,AUS geostationary full disc,VIS (Ch3) Greyscale,4,24
IDE00416,AUS geostationary full disc,VIS true colour & IR (Ch13) greyscale composite,4,24
IDE00420,AUS geostationary full disc,IR (Ch13) cloud cover only,2,24
IDE00421,AUS geostationary full disc,IR (Ch13) greyscale,2,24
IDE00422,AUS geostationary full disc,VIS (Ch13) Greyscale,2,24
IDE00423,AUS geostationary full disc,IR (Ch13) Zehr,2,24
IDE00425,AUS geostationary full disc,VIS true colour & IR (Ch13) greyscale composite,1,24
IDE00426,AUS geostationary full disc,VIS true colour & IR (Ch13) greyscale composite,2,24
IDE00427,AUS geostationary full disc,WV (Ch8) composite,2,24

IDE00430,AUS equirectangular projection,IR (Ch13) cloud cover only,2,24
IDE00431,AUS equirectangular projection,WV (Ch8) composite,2,24
IDE00432,AUS equirectangular projection,VIS (Ch3) greyscale,2,24
IDE00433,AUS equirectangular projection,IR (Ch13) Zehr,2,24
IDE00435,AUS equirectangular projection,VIS true colour & IR (Ch13) greyscale composite,1,24
IDE00436,AUS equirectangular projection,VIS true colour & IR (Ch13) greyscale composite,2,24
IDE00437,AUS equirectangular projection,WV (Ch8),2,24

IDR00004,National,Radar Mosaic,N/A,6

IDR011,Broadmeadows VIC,Broad-scale 512km x 512km Composite,N/A,1.2
IDR012,Broadmeadows VIC,Mid-scale 256km x 256km Composite,N/A,1.2
IDR013,Broadmeadows VIC,Local-scale 128km x 128km Composite,N/A,1.2
IDR014,Broadmeadows VIC,Local-scale 64km x 64km Composite,N/A,1.2
IDR01A,Broadmeadows VIC,Rainfields per 6 minutes,N/A,1.2
IDR01B,Broadmeadows VIC,Rainfields per hour,N/A,1.2
IDR01C,Broadmeadows VIC,Rainfields since 9am,N/A,10
IDR01D,Broadmeadows VIC,Rainfields in 24 hours,N/A,240
IDR01I,Broadmeadows VIC,Doppler wind velocity,N/A,1.2

IDR021,Melbourne VIC,Broad-scale 512km x 512km Composite,N/A,1.2
IDR022,Melbourne VIC,Mid-scale 256km x 256km Composite,N/A,1.2
IDR023,Melbourne VIC,Local-scale 128km x 128km Composite,N/A,1.2
IDR024,Melbourne VIC,Local-scale 64km x 64km Composite,N/A,1.2
IDR02A,Melbourne VIC,Rainfields per 6 minutes,N/A,1.2
IDR02B,Melbourne VIC,Rainfields per hour,N/A,1.2
IDR02C,Melbourne VIC,Rainfields since 9am,N/A,10
IDR02D,Melbourne VIC,Rainfields in 24 hours,N/A,240
IDR02I,Melbourne VIC,Doppler wind velocity,N/A,1.2

IDR031,Wollongong (Appin) NSW,Broad-scale 512km x 512km Composite,N/A,1.2
IDR032,Wollongong (Appin) NSW,Mid-scale 256km x 256km Composite,N/A,1.2
IDR033,Wollongong (Appin) NSW,Local-scale 128km x 128km Composite,N/A,1.2
IDR034,Wollongong (Appin) NSW,Local-scale 64km x 64km Composite,N/A,1.2
IDR03A,Wollongong (Appin) NSW,Rainfields per 6 minutes,N/A,1.2
IDR03B,Wollongong (Appin) NSW,Rainfields per hour,N/A,1.2
IDR03C,Wollongong (Appin) NSW,Rainfields since 9am,N/A,10
IDR03D,Wollongong (Appin) NSW,Rainfields in 24 hours,N/A,240
IDR03I,Wollongong (Appin) NSW,Doppler wind velocity,N/A,1.2

IDR041,Newcastle NSW,Broad-scale 512km x 512km Composite,N/A,1.2
IDR042,Newcastle NSW,Mid-scale 256km x 256km Composite,N/A,1.2
IDR043,Newcastle NSW,Local-scale 128km x 128km Composite,N/A,1.2
IDR044,Newcastle NSW,Local-scale 64km x 64km Composite,N/A,1.2
IDR04A,Newcastle NSW,Rainfields per 6 minutes,N/A,1.2
IDR04B,Newcastle NSW,Rainfields per hour,N/A,1.2
IDR04C,Newcastle NSW,Rainfields since 9am,N/A,10
IDR04D,Newcastle NSW,Rainfields in 24 hours,N/A,240
IDR04I,Newcastle NSW,Doppler wind velocity,N/A,1.2

IDR051,Carnarvon WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR052,Carnarvon WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR053,Carnarvon WA,Local-scale 128km x 128km Composite,N/A,1.2
IDR05A,Carnarvon WA,Rainfields per 6 minutes,N/A,1.2

IDR061,Geraldton WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR062,Geraldton WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR063,Geraldton WA,Local-scale 128km x 128km Composite,N/A,1.2
IDR064,Geraldton WA,Local-scale 64km x 64km Composite,N/A,1.2
